"IfcGUID","Family","Type","Assembly_code","Assembly_description","Level","Largeur (m)","Hauteur (m)","From Room: Number","To Room: Number","Heat Transfer Coefficient (U)","Thermal Resistance (R)","Thickness"
"3NOn8GwfX9xO2GvC26wXmy","Double vitrée","Double vitrée","B2030100","Glazed Doors & Entrances","RDC","1.80","2.45","","008","3.69 W/(m²·K)","0.27 (m²·K)/W","0.05"
"1t7ixAAub1EfduugOYjjHn","Portes Ascenseur","16 pers. - 1250kg","C1020","Interior Doors","RDC","0.00","0.00","lift2","000","","","0.00"
"1t7ixAAub1EfduugOYjjHo","Portes Ascenseur","16 pers. - 1250kg","C1020","Interior Doors","RDC","0.00","0.00","lift1","000","","","0.00"
"1t7ixAAub1EfduugOYjjLz","Portes Ascenseur","16 pers. - 1250kg","C1020","Interior Doors","1ET","0.00","0.00","lift2","stairlanding","","","0.00"
"1t7ixAAub1EfduugOYjjL_","Portes Ascenseur","16 pers. - 1250kg","C1020","Interior Doors","1ET","0.00","0.00","lift1","stairlanding","","","0.00"
"1t7ixAAub1EfduugOYjjQN","Portes Ascenseur","16 pers. - 1250kg","C1020","Interior Doors","2ET","0.00","0.00","lift2","stairlanding","","","0.00"
"1t7ixAAub1EfduugOYjjQG","Portes Ascenseur","16 pers. - 1250kg","C1020","Interior Doors","2ET","0.00","0.00","lift1","stairlanding","","","0.00"
"1t7ixAAub1EfduugOYjjQ4","Portes Ascenseur","16 pers. - 1250kg","C1020","Interior Doors","3ET","0.00","0.00","lift2","stairlanding","","","0.00"
"1t7ixAAub1EfduugOYjjQ5","Portes Ascenseur","16 pers. - 1250kg","C1020","Interior Doors","3ET","0.00","0.00","lift1","stairlanding","","","0.00"
"1t7ixAAub1EfduugOYjjRv","Portes Ascenseur","16 pers. - 1250kg","C1020","Interior Doors","4ET","0.00","0.00","lift2","stairlanding","","","0.00"
"1t7ixAAub1EfduugOYjjRw","Portes Ascenseur","16 pers. - 1250kg","C1020","Interior Doors","4ET","0.00","0.00","lift1","stairlanding","","","0.00"
"1t7ixAAub1EfduugOYjjRk","Portes Ascenseur","16 pers. - 1250kg","C1020","Interior Doors","5ET","0.00","0.00","lift2","stairlanding","","","0.00"
"1t7ixAAub1EfduugOYjjRl","Portes Ascenseur","16 pers. - 1250kg","C1020","Interior Doors","5ET","0.00","0.00","lift1","stairlanding","","","0.00"
"1t7ixAAub1EfduugOYjjRZ","Portes Ascenseur","16 pers. - 1250kg","C1020","Interior Doors","6ET","0.00","0.00","lift2","stairlanding","","","0.00"
"1t7ixAAub1EfduugOYjjRS","Portes Ascenseur","16 pers. - 1250kg","C1020","Interior Doors","6ET","0.00","0.00","lift1","stairlanding","","","0.00"
"1iW9VRpBLDdRuFZ3vS8qtR","Double vitrée","Double vitrée","B2030100","Glazed Doors & Entrances","1ET","1.52","2.44","","","3.69 W/(m²·K)","0.27 (m²·K)/W","0.05"
"1iW9VRpBLDdRuFZ3vS8qsQ","Double vitrée","Double vitrée","B2030100","Glazed Doors & Entrances","1ET","1.52","2.44","","","3.69 W/(m²·K)","0.27 (m²·K)/W","0.05"
"21o6KNzHT6ohD5DYM2lFsq","Simple avec alignement","0915 x 2134mm","C1020","Interior Doors","RDC","0.92","2.13","012","006","3.70 W/(m²·K)","0.27 (m²·K)/W","0.05"
"21o6KNzHT6ohD5DYM2lFtx","Simple avec alignement","0915 x 2134mm","C1020","Interior Doors","RDC","0.92","2.13","012","005-1","3.70 W/(m²·K)","0.27 (m²·K)/W","0.05"
"21o6KNzHT6ohD5DYM2lFee","Simple avec alignement","0915 x 2134mm","C1020","Interior Doors","RDC","0.92","2.13","024","018","3.70 W/(m²·K)","0.27 (m²·K)/W","0.05"
"21o6KNzHT6ohD5DYM2lFWi","Simple avec alignement","864 x 2000mm","C1020","Interior Doors","RDC","0.86","1.95","024","025","3.70 W/(m²·K)","0.27 (m²·K)/W","0.05"
"21o6KNzHT6ohD5DYM2lFYJ","Simple avec alignement","864 x 2000mm","C1020","Interior Doors","RDC","0.86","1.95","024","023","3.70 W/(m²·K)","0.27 (m²·K)/W","0.05"
"21o6KNzHT6ohD5DYM2lFZf","Simple avec alignement","0762 x 2032mm","C10","Interior Construction","RDC","0.76","2.03","023","018","3.70 W/(m²·K)","0.27 (m²·K)/W","0.05"
"21o6KNzHT6ohD5DYM2lFbX","Simple avec alignement","0762 x 2032mm","C10","Interior Construction","RDC","0.76","2.03","024","021","3.70 W/(m²·K)","0.27 (m²·K)/W","0.05"
"21o6KNzHT6ohD5DYM2lFOy","Simple avec alignement","0864 x 2134mm","C1020","Interior Doors","RDC","0.86","2.13","020","019","3.70 W/(m²·K)","0.27 (m²·K)/W","0.05"
"21o6KNzHT6ohD5DYM2lFQc","Simple avec alignement","864 x 2000mm","C1020","Interior Doors","RDC","0.86","1.95","022","019","3.70 W/(m²·K)","0.27 (m²·K)/W","0.05"
"21o6KNzHT6ohD5DYM2lFSA","Simple avec alignement","0915 x 2032mm","C1020","Interior Doors","RDC","0.92","2.03","","020","3.70 W/(m²·K)","0.27 (m²·K)/W","0.05"
"21o6KNzHT6ohD5DYM2lFIO","Simple avec alignement","0915 x 2032mm","C1020","Interior Doors","RDC","0.92","2.03","022","031-2","3.70 W/(m²·K)","0.27 (m²·K)/W","0.05"
"21o6KNzHT6ohD5DYM2lCuA","Double (R)","1.43m x 2.04m","C1020","Interior Doors","RDC","1.43","2.04","035","012","3.70 W/(m²·K)","0.27 (m²·K)/W","0.04"
"21o6KNzHT6ohD5DYM2lCvV","Double (R)","1.63m x 2.04m","C1020","Interior Doors","RDC","1.63","2.04","035","000","3.70 W/(m²·K)","0.27 (m²·K)/W","0.04"
"21o6KNzHT6ohD5DYM2lCxI","Simple avec alignement","0915 x 2032mm","C1020","Interior Doors","RDC","0.92","2.03","024","019","3.70 W/(m²·K)","0.27 (m²·K)/W","0.05"
"1fvP3ZNAzBS8uyrhHeTKRg","Simple avec alignement","864 x 2000mm","C1020","Interior Doors","RDC","0.86","1.95","018","018","3.70 W/(m²·K)","0.27 (m²·K)/W","0.05"
"1fvP3ZNAzBS8uyrhHeTKI9","Simple avec alignement","0915 x 2032mm","C1020","Interior Doors","1ET","0.92","2.03","south-corridor","south-corridor","3.70 W/(m²·K)","0.27 (m²·K)/W","0.05"
"1fvP3ZNAzBS8uyrhHeTKGG","Simple avec alignement","864 x 2000mm","C1020","Interior Doors","1ET","0.86","1.95","south-corridor","131","3.70 W/(m²·K)","0.27 (m²·K)/W","0.05"
"1fvP3ZNAzBS8uyrhHeTKF2","Simple avec alignement","0762 x 2032mm","C10","Interior Construction","1ET","0.76","2.03","131","131","3.70 W/(m²·K)","0.27 (m²·K)/W","0.05"
"1fvP3ZNAzBS8uyrhHeTKC7","Simple avec alignement","0762 x 2032mm","C10","Interior Construction","1ET","0.76","2.03","131","131","3.70 W/(m²·K)","0.27 (m²·K)/W","0.05"
"1fvP3ZNAzBS8uyrhHeTK8y","Simple avec alignement","864 x 2000mm","C1020","Interior Doors","1ET","0.86","1.95","south-corridor","134","3.70 W/(m²·K)","0.27 (m²·K)/W","0.05"
"1fvP3ZNAzBS8uyrhHeTK9m","Simple avec alignement","864 x 2000mm","C1020","Interior Doors","1ET","0.86","1.95","south-corridor","129","3.70 W/(m²·K)","0.27 (m²·K)/W","0.05"
"1fvP3ZNAzBS8uyrhHeTK6m","Simple avec alignement","864 x 2000mm","C1020","Interior Doors","1ET","0.86","1.95","south-corridor","132","3.70 W/(m²·K)","0.27 (m²·K)/W","0.05"
"1fvP3ZNAzBS8uyrhHeTK7c","Simple avec alignement","864 x 2000mm","C1020","Interior Doors","1ET","0.86","1.95","121","129","3.70 W/(m²·K)","0.27 (m²·K)/W","0.05"
"1fvP3ZNAzBS8uyrhHeTK7A","Simple avec alignement","864 x 2000mm","C1020","Interior Doors","1ET","0.86","1.95","south-corridor","120","3.70 W/(m²·K)","0.27 (m²·K)/W","0.05"
"1fvP3ZNAzBS8uyrhHeTK58","Simple avec alignement","864 x 2000mm","C1020","Interior Doors","1ET","0.86","1.95","104","112","3.70 W/(m²·K)","0.27 (m²·K)/W","0.05"
"1fvP3ZNAzBS8uyrhHeTK3U","Simple avec alignement","864 x 2000mm","C1020","Interior Doors","1ET","0.86","1.95","104","north-corridor","3.70 W/(m²·K)","0.27 (m²·K)/W","0.05"
"1fvP3ZNAzBS8uyrhHeTK1W","Simple avec alignement","864 x 2000mm","C1020","Interior Doors","1ET","0.86","1.95","north-corridor","101F","3.70 W/(m²·K)","0.27 (m²·K)/W","0.05"
"1fvP3ZNAzBS8uyrhHeTK_5","Simple avec alignement","864 x 2000mm","C1020","Interior Doors","1ET","0.86","1.95","101F","101F","3.70 W/(m²·K)","0.27 (m²·K)/W","0.05"
"1fvP3ZNAzBS8uyrhHeTKyl","Simple avec alignement","0762 x 2032mm","C10","Interior Construction","1ET","0.76","2.03","101H","101H","3.70 W/(m²·K)","0.27 (m²·K)/W","0.05"
"1fvP3ZNAzBS8uyrhHeTKzL","Simple avec alignement","0762 x 2032mm","C10","Interior Construction","1ET","0.76","2.03","north-corridor","101H","3.70 W/(m²·K)","0.27 (m²·K)/W","0.05"
"1fvP3ZNAzBS8uyrhHeTKxP","Simple avec alignement","864 x 2000mm","C1020","Interior Doors","1ET","0.86","1.95","104","north-corridor","3.70 W/(m²·K)","0.27 (m²·K)/W","0.05"
"1fvP3ZNAzBS8uyrhHeTKve","Double (R)","1.63m x 2.04m","C1020","Interior Doors","1ET","1.63","2.04","stairlanding","espace-eleves","3.70 W/(m²·K)","0.27 (m²·K)/W","0.04"
"1fvP3ZNAzBS8uyrhHeTKsT","Double (R)","1.83m x 2.04m","C1020","Interior Doors","1ET","1.83","2.04","south-corridor","","3.70 W/(m²·K)","0.27 (m²·K)/W","0.04"
"1fvP3ZNAzBS8uyrhHeTKnv","Simple avec alignement","864 x 2000mm","C1020","Interior Doors","1ET","0.86","1.95","103","111","3.70 W/(m²·K)","0.27 (m²·K)/W","0.05"
"1fvP3ZNAzBS8uyrhHeTL4N","Double (R)","1.20 m x 2.04 m","C1020","Interior Doors","1ET","1.00","2.04","121","1ETSTS1","3.70 W/(m²·K)","0.27 (m²·K)/W","0.04"
"1fvP3ZNAzBS8uyrhHeTL0k","Double (R)","1.20 m x 2.04 m","C1020","Interior Doors","1ET","1.00","2.04","121","1ETSTS1","3.70 W/(m²·K)","0.27 (m²·K)/W","0.04"
"0OuPAfEuPFuACWAumnL5im","Simple avec alignement","864 x 2000mm","C1020","Interior Doors","2ET","0.86","1.95","north-corridor","207","3.70 W/(m²·K)","0.27 (m²·K)/W","0.05"
"0OuPAfEuPFuACWAumnL5jq","Simple avec alignement","864 x 2000mm","C1020","Interior Doors","2ET","0.86","1.95","north-corridor","203","3.70 W/(m²·K)","0.27 (m²·K)/W","0.05"
"0OuPAfEuPFuACWAumnL5ge","Simple avec alignement","864 x 2000mm","C1020","Interior Doors","2ET","0.86","1.95","north-corridor","206","3.70 W/(m²·K)","0.27 (m²·K)/W","0.05"
"0OuPAfEuPFuACWAumnL5hE","Simple avec alignement","864 x 2000mm","C1020","Interior Doors","2ET","0.86","1.95","north-corridor","212","3.70 W/(m²·K)","0.27 (m²·K)/W","0.05"
"0OuPAfEuPFuACWAumnL5ho","Simple avec alignement","864 x 2000mm","C1020","Interior Doors","2ET","0.86","1.95","north-corridor","211","3.70 W/(m²·K)","0.27 (m²·K)/W","0.05"
"0OuPAfEuPFuACWAumnL5eY","Simple avec alignement","864 x 2000mm","C1020","Interior Doors","2ET","0.86","1.95","214","printer-zone","3.70 W/(m²·K)","0.27 (m²·K)/W","0.05"
"0OuPAfEuPFuACWAumnL5fo","Simple avec alignement","864 x 2000mm","C1020","Interior Doors","2ET","0.86","1.95","south-corridor","220","3.70 W/(m²·K)","0.27 (m²·K)/W","0.05"
"0OuPAfEuPFuACWAumnL5tY","Simple avec alignement","864 x 2000mm","C1020","Interior Doors","2ET","0.86","1.95","south-corridor","224","3.70 W/(m²·K)","0.27 (m²·K)/W","0.05"
"0OuPAfEuPFuACWAumnL5qk","Simple avec alignement","864 x 2000mm","C1020","Interior Doors","2ET","0.86","1.95","south-corridor","230","3.70 W/(m²·K)","0.27 (m²·K)/W","0.05"
"0OuPAfEuPFuACWAumnL5rO","Simple avec alignement","864 x 2000mm","C1020","Interior Doors","2ET","0.86","1.95","south-corridor","232","3.70 W/(m²·K)","0.27 (m²·K)/W","0.05"
"0OuPAfEuPFuACWAumnL5oW","Simple avec alignement","864 x 2000mm","C1020","Interior Doors","2ET","0.86","1.95","north-corridor","204","3.70 W/(m²·K)","0.27 (m²·K)/W","0.05"
"0OuPAfEuPFuACWAumnL5mo","Simple avec alignement","864 x 2000mm","C1020","Interior Doors","2ET","0.86","1.95","north-corridor","202","3.70 W/(m²·K)","0.27 (m²·K)/W","0.05"
"0OuPAfEuPFuACWAumnL5_M","Simple avec alignement","864 x 2000mm","C1020","Interior Doors","2ET","0.86","1.95","north-corridor","201F","3.70 W/(m²·K)","0.27 (m²·K)/W","0.05"
"0OuPAfEuPFuACWAumnL5yq","Simple avec alignement","0762 x 2032mm","C10","Interior Construction","2ET","0.76","2.03","north-corridor","201H","3.70 W/(m²·K)","0.27 (m²·K)/W","0.05"
"0OuPAfEuPFuACWAumnL5zW","Simple avec alignement","0762 x 2032mm","C10","Interior Construction","2ET","0.76","2.03","201H","201H","3.70 W/(m²·K)","0.27 (m²·K)/W","0.05"
"0OuPAfEuPFuACWAumnL5vY","Simple avec alignement","864 x 2000mm","C1020","Interior Doors","2ET","0.86","1.95","206","204","3.70 W/(m²·K)","0.27 (m²·K)/W","0.05"
"0OuPAfEuPFuACWAumnL266","Simple avec alignement","864 x 2000mm","C1020","Interior Doors","2ET","0.86","1.95","212","206","3.70 W/(m²·K)","0.27 (m²·K)/W","0.05"
"0OuPAfEuPFuACWAumnL27Q","Double (R)","1.43m x 2.04m","C1020","Interior Doors","2ET","1.43","2.04","printer-zone","214","3.70 W/(m²·K)","0.27 (m²·K)/W","0.04"
"0OuPAfEuPFuACWAumnL25u","Double (R)","1.63m x 2.04m","C1020","Interior Doors","2ET","1.63","2.04","stairlanding","printer-zone","3.70 W/(m²·K)","0.27 (m²·K)/W","0.04"
"0OuPAfEuPFuACWAumnL23D","Double (R)","1.63m x 2.04m","C1020","Interior Doors","2ET","1.63","2.04","south-corridor","printer-zone","3.70 W/(m²·K)","0.27 (m²·K)/W","0.04"
"0OuPAfEuPFuACWAumnL214","Simple avec alignement","864 x 2000mm","C1020","Interior Doors","2ET","0.86","1.95","220","224","3.70 W/(m²·K)","0.27 (m²·K)/W","0.05"
"0OuPAfEuPFuACWAumnL21a","Simple avec alignement","864 x 2000mm","C1020","Interior Doors","2ET","0.86","1.95","232","230","3.70 W/(m²·K)","0.27 (m²·K)/W","0.05"
"0OuPAfEuPFuACWAumnL2EM","Simple avec alignement","864 x 2000mm","C1020","Interior Doors","2ET","0.86","1.95","south-corridor","234","3.70 W/(m²·K)","0.27 (m²·K)/W","0.05"
"0OuPAfEuPFuACWAumnL2Ep","Simple avec alignement","864 x 2000mm","C1020","Interior Doors","2ET","0.86","1.95","south-corridor","231","3.70 W/(m²·K)","0.27 (m²·K)/W","0.05"
"0OuPAfEuPFuACWAumnL2Ci","Simple avec alignement","864 x 2000mm","C1020","Interior Doors","2ET","0.86","1.95","south-corridor","south-corridor","3.70 W/(m²·K)","0.27 (m²·K)/W","0.05"
"0OuPAfEuPFuACWAumnL2DS","Simple avec alignement","864 x 2000mm","C1020","Interior Doors","2ET","0.86","1.95","south-corridor","223","3.70 W/(m²·K)","0.27 (m²·K)/W","0.05"
"0OuPAfEuPFuACWAumnL2AS","Simple avec alignement","0762 x 2032mm","C10","Interior Construction","2ET","0.76","2.03","231","231","3.70 W/(m²·K)","0.27 (m²·K)/W","0.05"
"0OuPAfEuPFuACWAumnL2Bw","Simple avec alignement","0762 x 2032mm","C10","Interior Construction","2ET","0.76","2.03","231","231","3.70 W/(m²·K)","0.27 (m²·K)/W","0.05"
"0OuPAfEuPFuACWAumnL2MC","Simple avec alignement","864 x 2000mm","C1020","Interior Doors","2ET","0.86","1.95","221","223","3.70 W/(m²·K)","0.27 (m²·K)/W","0.05"
"0OuPAfEuPFuACWAumnL2Ma","Double (R)","1.20 m x 2.04 m","C1020","Interior Doors","2ET","1.00","2.04","221","2ETSTS1","3.70 W/(m²·K)","0.27 (m²·K)/W","0.04"
"0OuPAfEuPFuACWAumnL2Nl","Double (R)","1.20 m x 2.04 m","C1020","Interior Doors","2ET","1.00","2.04","221","2ETSTS1","3.70 W/(m²·K)","0.27 (m²·K)/W","0.04"
"0OuPAfEuPFuACWAumnL2XC","Coulissante - Apparente","0.80m x 2.04m","C1020","Interior Doors","2ET","0.80","2.04","201F","201F","3.70 W/(m²·K)","0.27 (m²·K)/W","0.04"
"0OuPAfEuPFuACWAumnL2ks","Coulissante - Apparente","0.80m x 2.04m","C1020","Interior Doors","2ET","0.80","2.04","234","234","3.70 W/(m²·K)","0.27 (m²·K)/W","0.04"
"0OuPAfEuPFuACWAumnL2id","Simple avec alignement","0762 x 2032mm","C10","Interior Construction","RDC","0.76","2.03","020","020","3.70 W/(m²·K)","0.27 (m²·K)/W","0.05"
"0OuPAfEuPFuACWAumnL2jN","Simple avec alignement","0762 x 2032mm","C10","Interior Construction","RDC","0.76","2.03","020","020","3.70 W/(m²·K)","0.27 (m²·K)/W","0.05"
"0OuPAfEuPFuACWAumnL2pq","Double (R)","1.63m x 2.04m","C1020","Interior Doors","1ET","1.63","2.04","espace-eleves","north-corridor","3.70 W/(m²·K)","0.27 (m²·K)/W","0.04"
"0OuPAfEuPFuACWAumnL2nX","Simple avec alignement","864 x 2000mm","C1020","Interior Doors","1ET","0.86","1.95","132","120","3.70 W/(m²·K)","0.27 (m²·K)/W","0.05"
"0OuPAfEuPFuACWAumnL2$J","Double (R)","1.63m x 2.04m","C1020","Interior Doors","2ET","1.63","2.04","printer-zone","north-corridor","3.70 W/(m²·K)","0.27 (m²·K)/W","0.04"
"0OuPAfEuPFuACWAumnL2yx","Double (R)","1.20 m x 2.04 m","C1020","Interior Doors","2ET","1.00","2.04","211","2ETNTS1","3.70 W/(m²·K)","0.27 (m²·K)/W","0.04"
"0OuPAfEuPFuACWAumnL2zY","Double (R)","1.20 m x 2.04 m","C1020","Interior Doors","2ET","1.00","2.04","211","2ETNTS1","3.70 W/(m²·K)","0.27 (m²·K)/W","0.04"
"0OuPAfEuPFuACWAumnL2w2","Double (R)","1.20 m x 2.04 m","C1020","Interior Doors","2ET","1.00","2.04","211","2ETNTS1","3.70 W/(m²·K)","0.27 (m²·K)/W","0.04"
"0OuPAfEuPFuACWAumnL2um","Simple avec alignement","864 x 2000mm","C1020","Interior Doors","2ET","0.86","1.95","south-corridor","221","3.70 W/(m²·K)","0.27 (m²·K)/W","0.05"
"0OuPAfEuPFuACWAumnL36S","Simple avec alignement","864 x 2000mm","C1020","Interior Doors","3ET","0.86","1.95","south-corridor","328","3.70 W/(m²·K)","0.27 (m²·K)/W","0.05"
"0OuPAfEuPFuACWAumnL37X","Simple avec alignement","864 x 2000mm","C1020","Interior Doors","3ET","0.86","1.95","south-corridor","332","3.70 W/(m²·K)","0.27 (m²·K)/W","0.05"
"0OuPAfEuPFuACWAumnL35L","Simple avec alignement","864 x 2000mm","C1020","Interior Doors","3ET","0.86","1.95","south-corridor","324","3.70 W/(m²·K)","0.27 (m²·K)/W","0.05"
"0OuPAfEuPFuACWAumnL33$","Simple avec alignement","864 x 2000mm","C1020","Interior Doors","3ET","0.86","1.95","south-corridor","320","3.70 W/(m²·K)","0.27 (m²·K)/W","0.05"
"0OuPAfEuPFuACWAumnL30e","Simple avec alignement","864 x 2000mm","C1020","Interior Doors","3ET","0.86","1.95","south-corridor","322","3.70 W/(m²·K)","0.27 (m²·K)/W","0.05"
"0OuPAfEuPFuACWAumnL30W","Simple avec alignement","864 x 2000mm","C1020","Interior Doors","3ET","0.86","1.95","south-corridor","322","3.70 W/(m²·K)","0.27 (m²·K)/W","0.05"
"0OuPAfEuPFuACWAumnL31c","Simple avec alignement","864 x 2000mm","C1020","Interior Doors","3ET","0.86","1.95","south-corridor","330","3.70 W/(m²·K)","0.27 (m²·K)/W","0.05"
"0OuPAfEuPFuACWAumnL3Eb","Simple avec alignement","864 x 2032mm - Rouge","","","3ET","0.86","2.03","waiting-area","318","3.70 W/(m²·K)","0.27 (m²·K)/W","0.05"
"0OuPAfEuPFuACWAumnL3CQ","Simple avec alignement","864 x 2032mm - Rouge","","","3ET","0.86","2.03","waiting-area","314","3.70 W/(m²·K)","0.27 (m²·K)/W","0.05"
"0OuPAfEuPFuACWAumnL3C$","Simple avec alignement","864 x 2000mm","C1020","Interior Doors","3ET","0.86","1.95","316","318","3.70 W/(m²·K)","0.27 (m²·K)/W","0.05"
"0OuPAfEuPFuACWAumnL3A6","Simple avec alignement","864 x 2000mm","C1020","Interior Doors","3ET","0.86","1.95","316","314","3.70 W/(m²·K)","0.27 (m²·K)/W","0.05"
"0OuPAfEuPFuACWAumnL3BY","Simple avec alignement","864 x 2000mm","C1020","Interior Doors","3ET","0.86","1.95","north-corridor","302","3.70 W/(m²·K)","0.27 (m²·K)/W","0.05"
"0OuPAfEuPFuACWAumnL38m","Simple avec alignement","864 x 2000mm","C1020","Interior Doors","3ET","0.86","1.95","north-corridor","304","3.70 W/(m²·K)","0.27 (m²·K)/W","0.05"
"0OuPAfEuPFuACWAumnL3MM","Simple avec alignement","864 x 2000mm","C1020","Interior Doors","3ET","0.86","1.95","north-corridor","306","3.70 W/(m²·K)","0.27 (m²·K)/W","0.05"
