"IfcGUID","Family","Type","Assembly_code","Assembly_description","Level","Largeur (m)","Hauteur (m)","From Room: Number","To Room: Number","Heat Transfer Coefficient (U)","Thermal Resistance (R)","Thickness"
"0VCuv0JOP1KuCC8aFa$c6r","Placard coulissante - 2 panneaux","Placard coulissante - 2 panneaux","C1020","Interior Doors","4ET","2.00","2.10","429","","3.70 W/(m²·K)","0.27 (m²·K)/W","0.02"
"2KP44OknLEdQ$v_TmkS8Gl","Simple avec alignement","0762 x 2032mm","C10","Interior Construction","4ET","0.76","2.03","431H","431H","3.70 W/(m²·K)","0.27 (m²·K)/W","0.05"
"2KP44OknLEdQ$v_TmkS8UR","Simple avec alignement","0762 x 2032mm","C10","Interior Construction","4ET","0.76","2.03","431","431","3.70 W/(m²·K)","0.27 (m²·K)/W","0.05"
"2KP44OknLEdQ$v_TmkS8S3","Placard coulissante - 2 panneaux","Placard coulissante - 2 panneaux","C1020","Interior Doors","5ET","2.00","2.10","507","507","3.70 W/(m²·K)","0.27 (m²·K)/W","0.02"
"2KP44OknLEdQ$v_TmkS8Rn","Placard coulissante - 2 panneaux","Placard coulissante - 2 panneaux","C1020","Interior Doors","5ET","2.00","2.10","511","511","3.70 W/(m²·K)","0.27 (m²·K)/W","0.02"
"2KP44OknLEdQ$v_TmkS8Oe","Placard coulissante - 2 panneaux","Placard coulissante - 2 panneaux","C1020","Interior Doors","5ET","2.00","2.10","529","529","3.70 W/(m²·K)","0.27 (m²·K)/W","0.02"
"2KP44OknLEdQ$v_TmkS87C","Placard coulissante - 2 panneaux","Placard coulissante - 2 panneaux","C1020","Interior Doors","5ET","2.00","2.10","525","525","3.70 W/(m²·K)","0.27 (m²·K)/W","0.02"
"2KP44OknLEdQ$v_TmkS86A","Simple avec alignement","864 x 2000mm","C1020","Interior Doors","5ET","0.86","1.95","south-corridor","531H","3.70 W/(m²·K)","0.27 (m²·K)/W","0.05"
"2KP44OknLEdQ$v_TmkS85I","Simple avec alignement","864 x 2000mm","C1020","Interior Doors","5ET","0.86","1.95","531F","531F","3.70 W/(m²·K)","0.27 (m²·K)/W","0.05"
"2KP44OknLEdQ$v_TmkS840","Simple avec alignement","864 x 2000mm","C1020","Interior Doors","5ET","0.86","1.95","south-corridor","531F","3.70 W/(m²·K)","0.27 (m²·K)/W","0.05"
"2KP44OknLEdQ$v_TmkS84e","Simple avec alignement","864 x 2000mm","C1020","Interior Doors","5ET","0.86","1.95","south-corridor","528","3.70 W/(m²·K)","0.27 (m²·K)/W","0.05"
"2KP44OknLEdQ$v_TmkS828","Simple avec alignement","864 x 2000mm","C1020","Interior Doors","5ET","0.86","1.95","south-corridor","532","3.70 W/(m²·K)","0.27 (m²·K)/W","0.05"
"2KP44OknLEdQ$v_TmkS81_","Simple avec alignement","864 x 2000mm","C1020","Interior Doors","5ET","0.86","1.95","south-corridor","530","3.70 W/(m²·K)","0.27 (m²·K)/W","0.05"
"2KP44OknLEdQ$v_TmkS8FO","Simple avec alignement","864 x 2000mm","C1020","Interior Doors","5ET","0.86","1.95","south-corridor","522","3.70 W/(m²·K)","0.27 (m²·K)/W","0.05"
"2KP44OknLEdQ$v_TmkS8CX","Coulissante - Apparente","0.80m x 2.04m","C1020","Interior Doors","5ET","0.80","2.04","501F","501F","3.70 W/(m²·K)","0.27 (m²·K)/W","0.04"
"2KP44OknLEdQ$v_TmkS8sh","Simple avec alignement","864 x 2000mm","C1020","Interior Doors","5ET","0.86","1.95","south-corridor","521","3.70 W/(m²·K)","0.27 (m²·K)/W","0.05"
"2KP44OknLEdQ$v_TmkS8rd","Simple avec alignement","864 x 2000mm","C1020","Interior Doors","5ET","0.86","1.95","south-corridor","523","3.70 W/(m²·K)","0.27 (m²·K)/W","0.05"
"2KP44OknLEdQ$v_TmkS8qn","Simple avec alignement","864 x 2000mm","C1020","Interior Doors","5ET","0.86","1.95","south-corridor","525","3.70 W/(m²·K)","0.27 (m²·K)/W","0.05"
"2KP44OknLEdQ$v_TmkS8ol","Simple avec alignement","864 x 2000mm","C1020","Interior Doors","5ET","0.86","1.95","south-corridor","529","3.70 W/(m²·K)","0.27 (m²·K)/W","0.05"
"2KP44OknLEdQ$v_TmkS8nr","Simple avec alignement","864 x 2000mm","C1020","Interior Doors","5ET","0.86","1.95","south-corridor","528","3.70 W/(m²·K)","0.27 (m²·K)/W","0.05"
"2KP44OknLEdQ$v_TmkS8$P","Simple avec alignement","864 x 2000mm","C1020","Interior Doors","5ET","0.86","1.95","516","514","3.70 W/(m²·K)","0.27 (m²·K)/W","0.05"
"2KP44OknLEdQ$v_TmkS8vT","Simple avec alignement","0762 x 2032mm","C10","Interior Construction","5ET","0.76","2.03","531F","531F","3.70 W/(m²·K)","0.27 (m²·K)/W","0.05"
"2KP44OknLEdQ$v_TmkS8uV","Simple avec alignement","0762 x 2032mm","C10","Interior Construction","5ET","0.76","2.03","531H","531H","3.70 W/(m²·K)","0.27 (m²·K)/W","0.05"
"2KP44OknLEdQ$v_TmkS8Xd","Double (R)","1.43m x 2.04m","C1020","Interior Doors","5ET","1.43","2.04","522","south-corridor","3.70 W/(m²·K)","0.27 (m²·K)/W","0.04"
"2KP44OknLEdQ$v_TmkS8k1","Double (R)","1.63m x 2.04m","C1020","Interior Doors","5ET","1.63","2.04","514","waiting-area","3.70 W/(m²·K)","0.27 (m²·K)/W","0.04"
"2KP44OknLEdQ$v_TmkS8jP","Double (R)","1.63m x 2.04m","C1020","Interior Doors","5ET","1.63","2.04","stairlanding","waiting-area","3.70 W/(m²·K)","0.27 (m²·K)/W","0.04"
"2KP44OknLEdQ$v_TmkS8iO","Double (R)","1.63m x 2.04m","C1020","Interior Doors","5ET","1.63","2.04","waiting-area","north-corridor","3.70 W/(m²·K)","0.27 (m²·K)/W","0.04"
"2KP44OknLEdQ$v_TmkS9K4","Double (R)","1.83m x 2.04m","C1020","Interior Doors","5ET","1.83","2.04","south-corridor","waiting-area","3.70 W/(m²·K)","0.27 (m²·K)/W","0.04"
"3j2rrPpW531hKxsY1Sb58z","Placard coulissante - 2 panneaux","Placard coulissante - 2 panneaux","C1020","Interior Doors","5ET","2.00","2.10","504","504","3.70 W/(m²·K)","0.27 (m²·K)/W","0.02"
"3j2rrPpW531hKxsY1Sb5Fx","Placard coulissante - 2 panneaux","Placard coulissante - 2 panneaux","C1020","Interior Doors","5ET","2.00","2.10","510","510","3.70 W/(m²·K)","0.27 (m²·K)/W","0.02"
"3j2rrPpW531hKxsY1Sb5H$","Placard coulissante - 2 panneaux","Placard coulissante - 2 panneaux","C1020","Interior Doors","5ET","2.00","2.10","532","532","3.70 W/(m²·K)","0.27 (m²·K)/W","0.02"
"3j2rrPpW531hKxsY1Sb5GJ","Placard coulissante - 2 panneaux","Placard coulissante - 2 panneaux","C1020","Interior Doors","5ET","2.00","2.10","526","526","3.70 W/(m²·K)","0.27 (m²·K)/W","0.02"
"3j2rrPpW531hKxsY1Sb5Gn","Placard coulissante - 2 panneaux","Placard coulissante - 2 panneaux","C1020","Interior Doors","5ET","2.00","2.10","530","530","3.70 W/(m²·K)","0.27 (m²·K)/W","0.02"
"3j2rrPpW531hKxsY1Sb5Mj","Double (R)","1.20 m x 2.04 m","C1020","Interior Doors","5ET","1.00","2.04","south-corridor","5ETSTS1","3.70 W/(m²·K)","0.27 (m²·K)/W","0.04"
"3j2rrPpW531hKxsY1Sb5Kx","Double (R)","1.20 m x 2.04 m","C1020","Interior Doors","5ET","1.00","2.04","south-corridor","5ETSTS1","3.70 W/(m²·K)","0.27 (m²·K)/W","0.04"
"3j2rrPpW531hKxsY1Sb5UR","Placard coulissante - 3 panneaux","Placard coulissante - 3 panneaux 3","C1020","Interior Doors","5ET","3.50","2.10","502","502","3.70 W/(m²·K)","0.27 (m²·K)/W","0.02"
"3j2rrPpW531hKxsY1Sb5Zi","Simple avec alignement","0762 x 2032mm","C10","Interior Construction","5ET","0.76","2.03","501H","501H","3.70 W/(m²·K)","0.27 (m²·K)/W","0.05"
"3j2rrPpW531hKxsY1Sb5cf","Placard coulissante - 3 panneaux","Placard coulissante - 3 panneaux 3","C1020","Interior Doors","5ET","3.50","2.10","503","503","3.70 W/(m²·K)","0.27 (m²·K)/W","0.02"
"3j2rrPpW531hKxsY1Sb5hl","Double (R)","1.20 m x 2.04 m","C1020","Interior Doors","5ET","1.00","2.04","north-corridor","5ETNTS1","3.70 W/(m²·K)","0.27 (m²·K)/W","0.04"
"3j2rrPpW531hKxsY1Sb5gx","Double (R)","1.20 m x 2.04 m","C1020","Interior Doors","5ET","1.00","2.04","north-corridor","5ETNTS1","3.70 W/(m²·K)","0.27 (m²·K)/W","0.04"
"0O$e_598j9jPfz9kkIketH","Simple avec alignement","864 x 2000mm","C1020","Interior Doors","6ET","0.86","1.95","610","604","3.70 W/(m²·K)","0.27 (m²·K)/W","0.05"
"0O$e_598j9jPfz9kkIketJ","Simple avec alignement","864 x 2000mm","C1020","Interior Doors","6ET","0.86","1.95","610","605","3.70 W/(m²·K)","0.27 (m²·K)/W","0.05"
"0O$e_598j9jPfz9kkIketr","Simple avec alignement","864 x 2000mm","C1020","Interior Doors","6ET","0.86","1.95","610","607","3.70 W/(m²·K)","0.27 (m²·K)/W","0.05"
"0O$e_598j9jPfz9kkIkes7","Simple avec alignement","864 x 2000mm","C1020","Interior Doors","6ET","0.86","1.95","610","603","3.70 W/(m²·K)","0.27 (m²·K)/W","0.05"
"0O$e_598j9jPfz9kkIkerM","Simple avec alignement","864 x 2000mm","C1020","Interior Doors","6ET","0.86","1.95","609","611","3.70 W/(m²·K)","0.27 (m²·K)/W","0.05"
"0O$e_598j9jPfz9kkIkeq0","Simple avec alignement","864 x 2000mm","C1020","Interior Doors","6ET","0.86","1.95","631F","620","3.70 W/(m²·K)","0.27 (m²·K)/W","0.05"
"0O$e_598j9jPfz9kkIkeht","Simple avec alignement","864 x 2000mm","C1020","Interior Doors","6ET","0.86","1.95","kitchen","634","3.70 W/(m²·K)","0.27 (m²·K)/W","0.05"
"0O$e_598j9jPfz9kkIkegv","Simple avec alignement","864 x 2000mm","C1020","Interior Doors","6ET","0.86","1.95","631F","631F","3.70 W/(m²·K)","0.27 (m²·K)/W","0.05"
"3Zm27myTX4Xg_2gNB4a7MW","Simple avec alignement","864 x 2000mm","C1020","Interior Doors","6ET","0.86","1.95","631PMR","620","3.70 W/(m²·K)","0.27 (m²·K)/W","0.05"
"3Zm27myTX4Xg_2gNB4a7Nu","Simple avec alignement","864 x 2000mm","C1020","Interior Doors","6ET","0.86","1.95","620","631H","3.70 W/(m²·K)","0.27 (m²·K)/W","0.05"
"3Zm27myTX4Xg_2gNB4a7KL","Double (R)","1.43m x 2.04m","C1020","Interior Doors","6ET","1.43","2.04","cloakarea","610","3.70 W/(m²·K)","0.27 (m²·K)/W","0.04"
"3Zm27myTX4Xg_2gNB4a7LU","Double (R)","1.43m x 2.04m","C1020","Interior Doors","6ET","1.43","2.04","620","cloakarea","3.70 W/(m²·K)","0.27 (m²·K)/W","0.04"
"3Zm27myTX4Xg_2gNB4a7Qz","Double (R)","1.63m x 2.04m","C1020","Interior Doors","6ET","1.63","2.04","stairlanding","cloakarea","3.70 W/(m²·K)","0.27 (m²·K)/W","0.04"
"3Zm27myTX4Xg_2gNB4a7RC","Double (R)","1.20 m x 2.04 m","C1020","Interior Doors","6ET","1.00","2.04","609","6ETNTS1","3.70 W/(m²·K)","0.27 (m²·K)/W","0.04"
"3Zm27myTX4Xg_2gNB4a7Oi","Double (R)","1.20 m x 2.04 m","C1020","Interior Doors","6ET","1.00","2.04","609","6ETNTS1","3.70 W/(m²·K)","0.27 (m²·K)/W","0.04"
"3Zm27myTX4Xg_2gNB4a7PS","Simple avec alignement","0762 x 2032mm","C10","Interior Construction","6ET","0.76","2.03","631H","631H","3.70 W/(m²·K)","0.27 (m²·K)/W","0.05"
"3Zm27myTX4Xg_2gNB4a7UC","Simple avec alignement","0762 x 2032mm","C10","Interior Construction","6ET","0.76","2.03","631PMR","631PMR","3.70 W/(m²·K)","0.27 (m²·K)/W","0.05"
"3Zm27myTX4Xg_2gNB4a7VI","Simple avec alignement","0762 x 2032mm","C10","Interior Construction","6ET","0.76","2.03","631PMR","631PMR","3.70 W/(m²·K)","0.27 (m²·K)/W","0.05"
"3uCXH$TjHBVxcqaEeAwxla","Double (R)","1.20 m x 2.04 m","C1020","Interior Doors","6ET","1.00","2.04","620","6ETSTS1","3.70 W/(m²·K)","0.27 (m²·K)/W","0.04"
"3uCXH$TjHBVxcqaEeAwyHK","Double (R)","1.20 m x 2.04 m","C1020","Interior Doors","6ET","1.00","2.04","620","6ETSTS1","3.70 W/(m²·K)","0.27 (m²·K)/W","0.04"
"3uCXH$TjHBVxcqaEeAwyKi","Placard coulissante - 2 panneaux","Placard coulissante - 2 panneaux 2","C1020","Interior Doors","6ET","1.50","2.10","631PMR","631PMR","3.70 W/(m²·K)","0.27 (m²·K)/W","0.02"
"3x$o66KOb0mRMnez4qitdX","Simple avec alignement","864 x 2000mm","C1020","Interior Doors","1ET","0.86","1.95","south-corridor","121","3.70 W/(m²·K)","0.27 (m²·K)/W","0.05"
"3x$o66KOb0mRMnez4qivZ9","Double (R)","1.20 m x 2.04 m","C1020","Interior Doors","1ET","1.00","2.04","111","1ETNTS1","3.70 W/(m²·K)","0.27 (m²·K)/W","0.04"
"3x$o66KOb0mRMnez4qivYv","Double (R)","1.20 m x 2.04 m","C1020","Interior Doors","1ET","1.00","2.04","111","1ETNTS1","3.70 W/(m²·K)","0.27 (m²·K)/W","0.04"
"3Q6P26NP17COkydppomwbb","Simple avec alignement","864 x 2000mm","C1020","Interior Doors","2ET","0.86","1.95","207","203","3.70 W/(m²·K)","0.27 (m²·K)/W","0.05"
"3Q6P26NP17COkydppomwYc","Simple avec alignement","864 x 2000mm","C1020","Interior Doors","2ET","0.86","1.95","207","211","3.70 W/(m²·K)","0.27 (m²·K)/W","0.05"
"3Q6P26NP17COkydppomwWq","Placard coulissante - 2 panneaux","Placard coulissante - 2 panneaux 2","C1020","Interior Doors","3ET","1.50","2.10","314","316","3.70 W/(m²·K)","0.27 (m²·K)/W","0.02"
"3Q6P26NP17COkydppomwWC","Placard coulissante - 2 panneaux","Placard coulissante - 2 panneaux 2","C1020","Interior Doors","3ET","1.50","2.10","314","316","3.70 W/(m²·K)","0.27 (m²·K)/W","0.02"
"0LVIjSJbjBZw1Vj0TYSS5u","Double vitrée","Double vitrée","B2030100","Glazed Doors & Entrances","2ET","1.81","2.44","","","3.69 W/(m²·K)","0.27 (m²·K)/W","0.05"
"0LVIjSJbjBZw1Vj0TYSS5i","Double vitrée","Double vitrée","B2030100","Glazed Doors & Entrances","3ET","1.70","2.44","","","3.69 W/(m²·K)","0.27 (m²·K)/W","0.05"
"0LVIjSJbjBZw1Vj0TYSS5W","Double vitrée","Double vitrée","B2030100","Glazed Doors & Entrances","4ET","1.56","2.44","south-corridor","","3.69 W/(m²·K)","0.27 (m²·K)/W","0.05"
"0LVIjSJbjBZw1Vj0TYSS2K","Double vitrée","Double vitrée","B2030100","Glazed Doors & Entrances","5ET","1.57","2.44","south-corridor","","3.69 W/(m²·K)","0.27 (m²·K)/W","0.05"
"0JCqc5giX8ZBmwCviNpiQy","Simple avec alignement","0915 x 2134mm","C1020","Interior Doors","ENT","0.92","2.13","003","011","3.70 W/(m²·K)","0.27 (m²·K)/W","0.05"
"0JCqc5giX8ZBmwCviNpiTn","Simple avec alignement","0915 x 2134mm","C1020","Interior Doors","ENT","0.92","2.13","022","026","3.70 W/(m²·K)","0.27 (m²·K)/W","0.05"
"0JCqc5giX8ZBmwCviNpiVa","Simple avec alignement","0915 x 2134mm","C1020","Interior Doors","ENT","0.92","2.13","022","026","3.70 W/(m²·K)","0.27 (m²·K)/W","0.05"
"0JCqc5giX8ZBmwCviNplWy","Double (R)","1.63m x 2.04m","C1020","Interior Doors","ENT","1.63","2.04","000","026","3.70 W/(m²·K)","0.27 (m²·K)/W","0.04"
"0JCqc5giX8ZBmwCviNplYp","Double (R)","1.63m x 2.04m","C1020","Interior Doors","ENT","1.63","2.04","000","stairlanding","3.70 W/(m²·K)","0.27 (m²·K)/W","0.04"
"0JCqc5giX8ZBmwCviNplbe","Double (R)","1.63m x 2.04m","C1020","Interior Doors","ENT","1.63","2.04","007","011","3.70 W/(m²·K)","0.27 (m²·K)/W","0.04"
"0JCqc5giX8ZBmwCviNpla6","Double (R)","1.63m x 2.04m","C1020","Interior Doors","ENT","1.63","2.04","009","stairlanding","3.70 W/(m²·K)","0.27 (m²·K)/W","0.04"
"0JCqc5giX8ZBmwCviNplfk","Tierce (R)","1.23m x 2.04m","C1020","Interior Doors","ENT","1.23","2.04","007B","011","3.70 W/(m²·K)","0.27 (m²·K)/W","0.04"
"1DDd_SBRj1e8DfgHJsdSqp","Double (R)","1.20 m x 2.04 m","C1020","Interior Doors","ENT","1.00","2.04","022","ENTST1","3.70 W/(m²·K)","0.27 (m²·K)/W","0.04"
"1DDd_SBRj1e8DfgHJsdSrV","Double (R)","1.20 m x 2.04 m","C1020","Interior Doors","ENT","1.00","2.04","022","ENTST1","3.70 W/(m²·K)","0.27 (m²·K)/W","0.04"
"1DDd_SBRj1e8DfgHJsdSsV","Double (R)","1.20 m x 2.04 m","C1020","Interior Doors","ENT","1.00","2.04","022","ENTST1","3.70 W/(m²·K)","0.27 (m²·K)/W","0.04"
"1DDd_SBRj1e8DfgHJsdSpu","Simple avec alignement","0864 x 2134mm","C1020","Interior Doors","RDC","0.86","2.13","022","032-1","3.70 W/(m²·K)","0.27 (m²·K)/W","0.05"
"0h1417sob1_w6opPcsjJz_","Simple avec alignement","0915 x 2134mm","C1020","Interior Doors","ENT","0.92","2.13","034","033","3.70 W/(m²·K)","0.27 (m²·K)/W","0.05"
"3yVgTujnH8luUM73l2$Lwv","Coulissante - Apparente","1.00m x 2.04m","C1020","Interior Doors","ENT","1.00","2.04","030","026","3.70 W/(m²·K)","0.27 (m²·K)/W","0.04"
"3a0lNjjivBheGiB1xP9TQG","Placard coulissante - 2 panneaux","Placard coulissante - 2 panneaux 2","C1020","Interior Doors","3ET","1.50","2.10","","321","3.70 W/(m²·K)","0.27 (m²·K)/W","0.02"
"3j4jTpVHD55uGl92DlN6Gp","Double vitrée","Double vitrée","B2030100","Glazed Doors & Entrances","1ET","1.52","2.44","","035","3.69 W/(m²·K)","0.27 (m²·K)/W","0.05"
"3j4jTpVHD55uGl92DlN6Jq","Double vitrée","Double vitrée","B2030100","Glazed Doors & Entrances","1ET","1.52","2.44","","035","3.69 W/(m²·K)","0.27 (m²·K)/W","0.05"
"3j4jTpVHD55uGl92DlN6IQ","Double vitrée","Double vitrée","B2030100","Glazed Doors & Entrances","1ET","1.52","2.44","","035","3.69 W/(m²·K)","0.27 (m²·K)/W","0.05"
"0_bwNY7XH0GuyfMC0_jr7y","Simple avec alignement","864 x 2000mm","C1020","Interior Doors","4ET","0.86","1.95","north-corridor","411","3.70 W/(m²·K)","0.27 (m²·K)/W","0.05"
"3RoOm16i14EfXhPT2fqS1T","Tierce (R)","1.23m x 2.04m","C1020","Interior Doors","RDC","1.23","2.04","035","024","3.70 W/(m²·K)","0.27 (m²·K)/W","0.04"
"1wlQDthdXBoR7TriYriE8J","Portes Ascenseur","16 pers. - 1250kg","C1020","Interior Doors","ENT","0.00","0.00","lift2","stairlanding","","","0.00"
"1wlQDthdXBoR7TriYriE8I","Portes Ascenseur","16 pers. - 1250kg","C1020","Interior Doors","ENT","0.00","0.00","lift1","stairlanding","","","0.00"
"2OdB4Kysb5Yx_KSESs3Lnw","Ext. Double","Plein - 1.80 m x 2.15 m","","","RDC","1.80","2.15","","000","3.69 W/(m²·K)","0.27 (m²·K)/W","0.05"
"1f4VopCIn1gAHviU1RhMVc","Double (R)","1.43m x 2.04m","C1020","Interior Doors","ENT","1.43","2.04","009","011","3.70 W/(m²·K)","0.27 (m²·K)/W","0.04"
"2E_cmeIJn1_gltefr7C73F","Ext. Double","Vitrée avec traverse - 1.80 m x 2.15 m","","","ENT","1.80","2.15","","stairlanding","3.69 W/(m²·K)","0.27 (m²·K)/W","0.05"
"03Q4jLetPAPwV3ruhYO6gQ","Double (R)","1.43m x 2.04m","C1020","Interior Doors","1ET","1.43","2.04","103","north-corridor","3.70 W/(m²·K)","0.27 (m²·K)/W","0.04"
"03Q4jLetPAPwV3ruhYO6gR","Double (R)","1.43m x 2.04m","C1020","Interior Doors","1ET","1.43","2.04","111","north-corridor","3.70 W/(m²·K)","0.27 (m²·K)/W","0.04"
"1VMOlJ3knDeODu7af36Nwh","Simple avec alignement","864 x 2000mm","C1020","Interior Doors","4ET","0.86","1.95","416","414","3.70 W/(m²·K)","0.27 (m²·K)/W","0.05"
"06QU6VoTb6LOxL61vfJ_xp","Placard coulissante - 2 panneaux","Placard coulissante - 2 panneaux","C1020","Interior Doors","4ET","2.00","2.10","","432","3.70 W/(m²·K)","0.27 (m²·K)/W","0.02"
"06QU6VoTb6LOxL61vfJ_qz","Placard coulissante - 2 panneaux","Placard coulissante - 2 panneaux","C1020","Interior Doors","4ET","2.00","2.10","","432","3.70 W/(m²·K)","0.27 (m²·K)/W","0.02"
"2l$Wp9R9D4e9dkX8kQy35r","Simple avec alignement","0915 x 2134mm","C1020","Interior Doors","RDC","0.92","2.13","005-1","005-2","3.70 W/(m²·K)","0.27 (m²·K)/W","0.05"
"3nwWKGg1v0Au54T_Nx$Udc","Coulissante - Apparente","0.80m x 2.04m","C1020","Interior Doors","1ET","0.80","2.04","134","134","3.70 W/(m²·K)","0.27 (m²·K)/W","0.04"
"26JZu79QnAxQovoEhys4NR","Double (R)","1.43m x 2.04m","C1020","Interior Doors","3ET","1.43","2.04","waiting-area","north-corridor","3.70 W/(m²·K)","0.27 (m²·K)/W","0.04"
"0QC_c1w8j6nf9rGBcNjaSL","Simple avec alignement","864 x 2000mm","C1020","Interior Doors","4ET","0.86","1.95","south-corridor","428","3.70 W/(m²·K)","0.27 (m²·K)/W","0.05"
"2MdVwm5tHB8O2AnKvxSqjz","Double (R)","1.63m x 2.04m","C1020","Interior Doors","4ET","1.63","2.04","waiting-area","north-corridor","3.70 W/(m²·K)","0.27 (m²·K)/W","0.04"
"3ipRFivfD2RetyMn15GA$I","Simple avec alignement","864 x 2000mm","C1020","Interior Doors","6ET","0.86","1.95","610","609","3.70 W/(m²·K)","0.27 (m²·K)/W","0.05"
"0nE4lwtJLCMf21yITjzghw","Double vitrée","Double vitrée","B2030100","Glazed Doors & Entrances","6ET","1.52","2.44","620","","3.69 W/(m²·K)","0.27 (m²·K)/W","0.05"
"0nE4lwtJLCMf21yITjzjon","Double vitrée","Double vitrée","B2030100","Glazed Doors & Entrances","1ET","1.84","2.44","","","3.69 W/(m²·K)","0.27 (m²·K)/W","0.05"
