"IfcGUID","Description","Dimensions (m)","Level","Conductivité thermique U (W/(m2.K))","Résistance thermique R ((m2.K)/W)","Largeur (m)","Hauteur (m)","From Room: Number","To Room: Number"
"1jMGJTzbX0Gu65H0cXPmK5","3 vantaux - 3 imposte","1.65m x 1.8 m","5ET","2.88 W/(m²·K)","0.35 (m²·K)/W","0.55","1.80","stairlanding",""
"1jMGJTzbX0Gu65H0cXPmGG","3 vantaux - 3 imposte","1.65m x 1.8 m","2ET","2.88 W/(m²·K)","0.35 (m²·K)/W","0.55","1.80","221",""
"1jMGJTzbX0Gu65H0cXPmGS","3 vantaux - 3 imposte","1.65m x 1.8 m","4ET","2.88 W/(m²·K)","0.35 (m²·K)/W","0.55","1.80","421",""
"1jMGJTzbX0Gu65H0cXPmC2","3 vantaux - 3 imposte","1.65m x 1.8 m","2ET","2.88 W/(m²·K)","0.35 (m²·K)/W","0.55","1.80","223",""
"1jMGJTzbX0Gu65H0cXPmC1","3 vantaux - 3 imposte","1.65m x 1.8 m","2ET","2.88 W/(m²·K)","0.35 (m²·K)/W","0.55","1.80","223",""
"1jMGJTzbX0Gu65H0cXPmC0","3 vantaux - 3 imposte","1.65m x 1.8 m","3ET","2.88 W/(m²·K)","0.35 (m²·K)/W","0.55","1.80","325",""
"1jMGJTzbX0Gu65H0cXPmCF","3 vantaux - 3 imposte","1.65m x 1.8 m","3ET","2.88 W/(m²·K)","0.35 (m²·K)/W","0.55","1.80","325",""
"1jMGJTzbX0Gu65H0cXPmCD","3 vantaux - 3 imposte","1.65m x 1.8 m","4ET","2.88 W/(m²·K)","0.35 (m²·K)/W","0.55","1.80","425",""
"1jMGJTzbX0Gu65H0cXPmCC","3 vantaux - 3 imposte","1.65m x 1.8 m","5ET","2.88 W/(m²·K)","0.35 (m²·K)/W","0.55","1.80","529",""
"1jMGJTzbX0Gu65H0cXPmCB","3 vantaux - 3 imposte","1.65m x 1.8 m","5ET","2.88 W/(m²·K)","0.35 (m²·K)/W","0.55","1.80","529",""
"1jMGJTzbX0Gu65H0cXPmDu","3 vantaux - 3 imposte","1.65m x 1.8 m","2ET","2.88 W/(m²·K)","0.35 (m²·K)/W","0.55","1.80","223",""
"1jMGJTzbX0Gu65H0cXPmDd","3 vantaux - 3 imposte","1.65m x 1.8 m","2ET","2.88 W/(m²·K)","0.35 (m²·K)/W","0.55","1.80","221",""
"1jMGJTzbX0Gu65H0cXPmDc","3 vantaux - 3 imposte","1.65m x 1.8 m","3ET","2.88 W/(m²·K)","0.35 (m²·K)/W","0.55","1.80","323",""
"1jMGJTzbX0Gu65H0cXPmDb","3 vantaux - 3 imposte","1.65m x 1.8 m","3ET","2.88 W/(m²·K)","0.35 (m²·K)/W","0.55","1.80","323",""
"1jMGJTzbX0Gu65H0cXPmDa","3 vantaux - 3 imposte","1.65m x 1.8 m","4ET","2.88 W/(m²·K)","0.35 (m²·K)/W","0.55","1.80","423",""
"1jMGJTzbX0Gu65H0cXPmDZ","3 vantaux - 3 imposte","1.65m x 1.8 m","4ET","2.88 W/(m²·K)","0.35 (m²·K)/W","0.55","1.80","423",""
"1jMGJTzbX0Gu65H0cXPmDY","3 vantaux - 3 imposte","1.65m x 1.8 m","5ET","2.88 W/(m²·K)","0.35 (m²·K)/W","0.55","1.80","525",""
"1jMGJTzbX0Gu65H0cXPmDX","3 vantaux - 3 imposte","1.65m x 1.8 m","5ET","2.88 W/(m²·K)","0.35 (m²·K)/W","0.55","1.80","525",""
"1jMGJTzbX0Gu65H0cXPmDP","3 vantaux - 3 imposte","1.65m x 1.8 m","2ET","2.88 W/(m²·K)","0.35 (m²·K)/W","0.55","1.80","221",""
"1jMGJTzbX0Gu65H0cXPmD7","3 vantaux - 3 imposte","1.65m x 1.8 m","3ET","2.88 W/(m²·K)","0.35 (m²·K)/W","0.55","1.80","321",""
"1jMGJTzbX0Gu65H0cXPmD6","3 vantaux - 3 imposte","1.65m x 1.8 m","3ET","2.88 W/(m²·K)","0.35 (m²·K)/W","0.55","1.80","321",""
"1jMGJTzbX0Gu65H0cXPmD5","3 vantaux - 3 imposte","1.65m x 1.8 m","4ET","2.88 W/(m²·K)","0.35 (m²·K)/W","0.55","1.80","421",""
"1jMGJTzbX0Gu65H0cXPmD3","3 vantaux - 3 imposte","1.65m x 1.8 m","5ET","2.88 W/(m²·K)","0.35 (m²·K)/W","0.55","1.80","523",""
"1jMGJTzbX0Gu65H0cXPmD2","3 vantaux - 3 imposte","1.65m x 1.8 m","5ET","2.88 W/(m²·K)","0.35 (m²·K)/W","0.55","1.80","521",""
"1cTfeCS2jF2wOSCMZ2Mx48","3 vantaux - 3 imposte","1.65m x 1.8 m","3ET","2.88 W/(m²·K)","0.35 (m²·K)/W","0.55","1.80","316",""
"1cTfeCS2jF2wOSCMZ2Mx2M","3 vantaux - 3 imposte","1.65m x 1.8 m","3ET","2.88 W/(m²·K)","0.35 (m²·K)/W","0.55","1.80","316",""
"1cTfeCS2jF2wOSCMZ2Mx3G","3 vantaux - 3 imposte","1.65m x 1.8 m","2ET","2.88 W/(m²·K)","0.35 (m²·K)/W","0.55","1.80","214",""
"1cTfeCS2jF2wOSCMZ2Mx1_","3 vantaux - 3 imposte","1.65m x 1.8 m","2ET","2.88 W/(m²·K)","0.35 (m²·K)/W","0.55","1.80","214",""
"1cTfeCS2jF2wOSCMZ2MxvD","3 vantaux - 3 imposte","1.65m x 1.8 m","4ET","2.88 W/(m²·K)","0.35 (m²·K)/W","0.55","1.80","416",""
"1cTfeCS2jF2wOSCMZ2MxvC","3 vantaux - 3 imposte","1.65m x 1.8 m","4ET","2.88 W/(m²·K)","0.35 (m²·K)/W","0.55","1.80","416",""
"1cTfeCS2jF2wOSCMZ2Mxv0","3 vantaux - 3 imposte","1.65m x 1.8 m","5ET","2.88 W/(m²·K)","0.35 (m²·K)/W","0.55","1.80","514",""
"1cTfeCS2jF2wOSCMZ2Mxs$","3 vantaux - 3 imposte","1.65m x 1.8 m","5ET","2.88 W/(m²·K)","0.35 (m²·K)/W","0.55","1.80","514",""
"1cTfeCS2jF2wOSCMZ2Mxst","3 vantaux - 3 imposte","1.65m x 1.8 m","5ET","2.88 W/(m²·K)","0.35 (m²·K)/W","0.55","1.80","516",""
"1cTfeCS2jF2wOSCMZ2MxrW","3 vantaux - 3 imposte","1.65m x 1.8 m","4ET","2.88 W/(m²·K)","0.35 (m²·K)/W","0.55","1.80","418",""
"1cTfeCS2jF2wOSCMZ2Mxo2","3 vantaux - 3 imposte","1.65m x 1.8 m","3ET","2.88 W/(m²·K)","0.35 (m²·K)/W","0.55","1.80","318",""
"1cTfeCS2jF2wOSCMZ2Mxnk","3 vantaux - 3 imposte","1.65m x 1.8 m","2ET","2.88 W/(m²·K)","0.35 (m²·K)/W","0.55","1.80","214",""
"1cTfeCS2jF2wOSCMZ2Mxlz","3 vantaux - 3 imposte","1.65m x 1.8 m","2ET","2.88 W/(m²·K)","0.35 (m²·K)/W","0.55","1.80","214",""
"1cTfeCS2jF2wOSCMZ2MxiF","3 vantaux - 3 imposte","1.65m x 1.8 m","3ET","2.88 W/(m²·K)","0.35 (m²·K)/W","0.55","1.80","314",""
"1cTfeCS2jF2wOSCMZ2Mxgr","3 vantaux - 3 imposte","1.65m x 1.8 m","4ET","2.88 W/(m²·K)","0.35 (m²·K)/W","0.55","1.80","414",""
"1cTfeCS2jF2wOSCMZ2MxhR","3 vantaux - 3 imposte","1.65m x 1.8 m","5ET","2.88 W/(m²·K)","0.35 (m²·K)/W","0.55","1.80","514",""
"2DnVoxv2P23xKQaeX7hkAw","3 vantaux - 3 imposte","1.65m x 1.8 m","1ET","2.88 W/(m²·K)","0.35 (m²·K)/W","0.55","1.80","espace-eleves",""
"2DnVoxv2P23xKQaeX7hkAv","3 vantaux - 3 imposte","1.65m x 1.8 m","1ET","2.88 W/(m²·K)","0.35 (m²·K)/W","0.55","1.80","espace-eleves",""
"2DnVoxv2P23xKQaeX7hkAu","3 vantaux - 3 imposte","1.65m x 1.8 m","1ET","2.88 W/(m²·K)","0.35 (m²·K)/W","0.55","1.80","espace-eleves",""
"2DnVoxv2P23xKQaeX7hkA$","3 vantaux - 3 imposte","1.65m x 1.8 m","1ET","2.88 W/(m²·K)","0.35 (m²·K)/W","0.55","1.80","espace-eleves",""
"2wjAL6uK1FRRagRP8hIwjL","3 vantaux - 3 imposte","1.65m x 1.8 m","1ET","2.88 W/(m²·K)","0.35 (m²·K)/W","0.55","1.80","103",""
"2wjAL6uK1FRRagRP8hIwkL","3 vantaux - 3 imposte","1.65m x 1.8 m","1ET","2.88 W/(m²·K)","0.35 (m²·K)/W","0.55","1.80","103",""
"2wjAL6uK1FRRagRP8hIvGv","3 vantaux - 3 imposte","1.65m x 1.8 m","1ET","2.88 W/(m²·K)","0.35 (m²·K)/W","0.55","1.80","103",""
"2wjAL6uK1FRRagRP8hIvJT","3 vantaux - 3 imposte","1.65m x 1.8 m","1ET","2.88 W/(m²·K)","0.35 (m²·K)/W","0.55","1.80","111",""
"2wjAL6uK1FRRagRP8hIvIj","3 vantaux - 3 imposte","1.65m x 1.8 m","1ET","2.88 W/(m²·K)","0.35 (m²·K)/W","0.55","1.80","111",""
"2wjAL6uK1FRRagRP8hIvLO","3 vantaux - 3 imposte","1.65m x 1.8 m","1ET","2.88 W/(m²·K)","0.35 (m²·K)/W","0.55","1.80","111",""
"2wjAL6uK1FRRagRP8hIvP_","3 vantaux - 3 imposte","1.65m x 1.8 m","1ET","2.88 W/(m²·K)","0.35 (m²·K)/W","0.55","1.80","stairlanding",""
"2wjAL6uK1FRRagRP8hIvQ_","3 vantaux - 3 imposte","1.65m x 1.8 m","1ET","2.88 W/(m²·K)","0.35 (m²·K)/W","0.55","1.80","121",""
"2wjAL6uK1FRRagRP8hIvTI","3 vantaux - 3 imposte","1.65m x 1.8 m","1ET","2.88 W/(m²·K)","0.35 (m²·K)/W","0.55","1.80","121",""
"2wjAL6uK1FRRagRP8hIvSO","3 vantaux - 3 imposte","1.65m x 1.8 m","1ET","2.88 W/(m²·K)","0.35 (m²·K)/W","0.55","1.80","121",""
"2wjAL6uK1FRRagRP8hIvUm","3 vantaux - 3 imposte","1.65m x 1.8 m","1ET","2.88 W/(m²·K)","0.35 (m²·K)/W","0.55","1.80","129",""
"2wjAL6uK1FRRagRP8hIv1A","3 vantaux - 3 imposte","1.65m x 1.8 m","1ET","2.88 W/(m²·K)","0.35 (m²·K)/W","0.55","1.80","129",""
"2wjAL6uK1FRRagRP8hIv3q","3 vantaux - 3 imposte","1.65m x 1.8 m","1ET","2.88 W/(m²·K)","0.35 (m²·K)/W","0.55","1.80","129",""
"2Xmfyetuj4kuH9azg5WX3N","3 vantaux - 3 imposte","1.65m x 1.8 m","5ET","2.88 W/(m²·K)","0.35 (m²·K)/W","0.55","1.80","531H",""
"3rjGePL4v1sR7melIku3Li","3 vantaux - 3 imposte","1.65m x 1.8 m","6ET","2.88 W/(m²·K)","0.35 (m²·K)/W","0.55","1.80","stairlanding",""
"220vmuXI9FmeprvHGGQAL7","3 vantaux - 3 imposte","1.65m x 1.8 m","6ET","2.88 W/(m²·K)","0.35 (m²·K)/W","0.55","1.80","620",""
"220vmuXI9FmeprvHGGQAKY","3 vantaux - 3 imposte","1.65m x 1.8 m","6ET","2.88 W/(m²·K)","0.35 (m²·K)/W","0.55","1.80","620",""
"220vmuXI9FmeprvHGGQANq","3 vantaux - 3 imposte","1.65m x 1.8 m","6ET","2.88 W/(m²·K)","0.35 (m²·K)/W","0.55","1.80","620",""
"220vmuXI9FmeprvHGGQAMc","3 vantaux - 3 imposte","1.65m x 1.8 m","6ET","2.88 W/(m²·K)","0.35 (m²·K)/W","0.55","1.80","620",""
"220vmuXI9FmeprvHGGQAP8","3 vantaux - 3 imposte","1.65m x 1.8 m","6ET","2.88 W/(m²·K)","0.35 (m²·K)/W","0.55","1.80","620",""
"220vmuXI9FmeprvHGGQAPe","3 vantaux - 3 imposte","1.65m x 1.8 m","6ET","2.88 W/(m²·K)","0.35 (m²·K)/W","0.55","1.80","620",""
"220vmuXI9FmeprvHGGQAOy","3 vantaux - 3 imposte","1.65m x 1.8 m","6ET","2.88 W/(m²·K)","0.35 (m²·K)/W","0.55","1.80","611",""
"220vmuXI9FmeprvHGGQAQR","3 vantaux - 3 imposte","1.65m x 1.8 m","6ET","2.88 W/(m²·K)","0.35 (m²·K)/W","0.55","1.80","607",""
"220vmuXI9FmeprvHGGQAQd","3 vantaux - 3 imposte","1.65m x 1.8 m","6ET","2.88 W/(m²·K)","0.35 (m²·K)/W","0.55","1.80","605",""
"220vmuXI9FmeprvHGGQATD","3 vantaux - 3 imposte","1.65m x 1.8 m","6ET","2.88 W/(m²·K)","0.35 (m²·K)/W","0.55","1.80","603",""
"220vmuXI9FmeprvHGGQASN","3 vantaux - 3 imposte","1.65m x 1.8 m","6ET","2.88 W/(m²·K)","0.35 (m²·K)/W","0.55","1.80","610",""
"220vmuXI9FmeprvHGGQAS3","3 vantaux - 3 imposte","1.65m x 1.8 m","6ET","2.88 W/(m²·K)","0.35 (m²·K)/W","0.55","1.80","610",""
"0nE4lwtJLCMf21yITjzgjb","3 vantaux - 3 imposte","1.65m x 1.8 m","6ET","2.88 W/(m²·K)","0.35 (m²·K)/W","0.55","1.80","631H",""
"0nE4lwtJLCMf21yITjzjrg","3 vantaux - 3 imposte","1.65m x 1.8 m","2ET","2.88 W/(m²·K)","0.35 (m²·K)/W","0.55","1.80","south-corridor",""
"0nE4lwtJLCMf21yITjzjtU","3 vantaux - 3 imposte","1.65m x 1.8 m","1ET","2.88 W/(m²·K)","0.35 (m²·K)/W","0.55","1.80","",""
"0WvMP6WrbFdvk$X_XvKeHF","3 vantaux - 3 imposte","1.65m x 1.8 m","3ET","2.88 W/(m²·K)","0.35 (m²·K)/W","0.55","1.80","333",""
"0WvMP6WrbFdvk$X_XvKeFb","3 vantaux - 3 imposte","1.65m x 1.8 m","4ET","2.88 W/(m²·K)","0.35 (m²·K)/W","0.55","1.80","431H",""
"1jMGJTzbX0Gu65H0cXPmOq","3 vantaux - 3 imposte","1.65m x 1.60","2ET","2.88 W/(m²·K)","0.35 (m²·K)/W","0.55","1.58","stairlanding",""
"1jMGJTzbX0Gu65H0cXPmOo","3 vantaux - 3 imposte","1.65m x 1.60","3ET","2.88 W/(m²·K)","0.35 (m²·K)/W","0.55","1.58","stairlanding",""
"1jMGJTzbX0Gu65H0cXPmOm","3 vantaux - 3 imposte","1.65m x 1.60","4ET","2.88 W/(m²·K)","0.35 (m²·K)/W","0.55","1.58","stairlanding",""
"1jMGJTzbX0Gu65H0cXPmO_","3 vantaux - 3 imposte","1.65m x 1.60","5ET","2.88 W/(m²·K)","0.35 (m²·K)/W","0.55","1.58","stairlanding",""
"2wjAL6uK1FRRagRP8hIvK4","3 vantaux - 3 imposte","1.65m x 1.60","1ET","2.88 W/(m²·K)","0.35 (m²·K)/W","0.55","1.58","stairlanding",""
"3rjGePL4v1sR7melIku3KR","3 vantaux - 3 imposte","1.65m x 1.60","6ET","2.88 W/(m²·K)","0.35 (m²·K)/W","0.55","1.58","stairlanding",""
"3cgL22Rh50aPZnHkdtNF7e","3 vantaux - 3 imposte","1.65m x 1.60","2ET","2.88 W/(m²·K)","0.35 (m²·K)/W","0.55","1.58","6ETST0",""
"3cgL22Rh50aPZnHkdtNF7h","3 vantaux - 3 imposte","1.65m x 1.60","3ET","2.88 W/(m²·K)","0.35 (m²·K)/W","0.55","1.58","6ETST0",""
"3cgL22Rh50aPZnHkdtNF7g","3 vantaux - 3 imposte","1.65m x 1.60","4ET","2.88 W/(m²·K)","0.35 (m²·K)/W","0.55","1.58","6ETST0",""
"3cgL22Rh50aPZnHkdtNF7b","3 vantaux - 3 imposte","1.65m x 1.60","5ET","2.88 W/(m²·K)","0.35 (m²·K)/W","0.55","1.58","6ETST0",""
"3cgL22Rh50aPZnHkdtNF7a","3 vantaux - 3 imposte","1.65m x 1.60","1ET","2.88 W/(m²·K)","0.35 (m²·K)/W","0.55","1.58","6ETST0",""
"3cgL22Rh50aPZnHkdtNF18","3 vantaux - 3 imposte","1.65m x 1.60","6ET","2.88 W/(m²·K)","0.35 (m²·K)/W","0.55","1.58","6ETST0",""
"1jMGJTzbX0Gu65H0cXPmCE","3 vantaux - 3 imposte - Ouvert","1.65m x 1.8 m","4ET","2.88 W/(m²·K)","0.35 (m²·K)/W","0.55","1.80","429",""
"2wjAL6uK1FRRagRP8hIv98","3 Vantaux - Droits","1.55m x 1.25m","ENT","2.88 W/(m²·K)","0.35 (m²·K)/W","1.55","1.25","003",""
"2wjAL6uK1FRRagRP8hIvnC","3 Vantaux - Droits","1.55m x 1.25m","ENT","2.88 W/(m²·K)","0.35 (m²·K)/W","1.55","1.25","003",""
"2wjAL6uK1FRRagRP8hIvmE","3 Vantaux - Droits","1.55m x 1.25m","ENT","2.88 W/(m²·K)","0.35 (m²·K)/W","1.55","1.25","007B",""
"2wjAL6uK1FRRagRP8hIvow","3 Vantaux - Droits","1.55m x 1.25m","ENT","2.88 W/(m²·K)","0.35 (m²·K)/W","1.55","1.25","007B",""
"2wjAL6uK1FRRagRP8hIvoE","3 Vantaux - Droits","1.55m x 1.25m","ENT","2.88 W/(m²·K)","0.35 (m²·K)/W","1.55","1.25","007",""
"2wjAL6uK1FRRagRP8hIvqu","3 Vantaux - Droits","1.55m x 1.25m","ENT","2.88 W/(m²·K)","0.35 (m²·K)/W","1.55","1.25","007",""
"2wjAL6uK1FRRagRP8hIvtQ","3 Vantaux - Droits","1.55m x 1.25m","ENT","2.88 W/(m²·K)","0.35 (m²·K)/W","1.55","1.25","stairlanding",""
"2wjAL6uK1FRRagRP8hIvuy","3 Vantaux - Droits","1.55m x 1.25m","ENT","2.88 W/(m²·K)","0.35 (m²·K)/W","1.55","1.25","6ETST0",""
"2wjAL6uK1FRRagRP8hIvwj","3 Vantaux - Droits","1.55m x 1.25m","ENT","2.88 W/(m²·K)","0.35 (m²·K)/W","1.55","1.25","022",""
"2wjAL6uK1FRRagRP8hIvym","3 Vantaux - Droits","1.55m x 1.25m","ENT","2.88 W/(m²·K)","0.35 (m²·K)/W","1.55","1.25","022",""
"2wjAL6uK1FRRagRP8hIv$y","3 Vantaux - Droits","1.55m x 1.25m","ENT","2.88 W/(m²·K)","0.35 (m²·K)/W","1.55","1.25","022",""
"2wjAL6uK1FRRagRP8hIv_s","3 Vantaux - Droits","1.55m x 1.25m","ENT","2.88 W/(m²·K)","0.35 (m²·K)/W","1.55","1.25","022",""
"2wjAL6uK1FRRagRP8hIvXk","3 Vantaux - Droits","1.55m x 1.25m","ENT","2.88 W/(m²·K)","0.35 (m²·K)/W","1.55","1.25","022",""
"2wjAL6uK1FRRagRP8hIvZg","3 Vantaux - Droits","1.55m x 1.25m","ENT","2.88 W/(m²·K)","0.35 (m²·K)/W","1.55","1.25","022",""
"2OdB4Kysb5Yx_KSESs3Lr3","3 Vantaux - Droits","1.80m x 1.25m","RDC","2.88 W/(m²·K)","0.35 (m²·K)/W","1.55","1.25","006",""
"2OdB4Kysb5Yx_KSESs3LtN","3 Vantaux - Droits","1.80m x 1.25m","RDC","2.88 W/(m²·K)","0.35 (m²·K)/W","1.55","1.25","006",""
"2OdB4Kysb5Yx_KSESs3Ltx","3 Vantaux - Droits","1.80m x 1.25m","RDC","2.88 W/(m²·K)","0.35 (m²·K)/W","1.55","1.25","005-1",""
"2OdB4Kysb5Yx_KSESs3Lth","3 Vantaux - Droits","1.80m x 1.25m","RDC","2.88 W/(m²·K)","0.35 (m²·K)/W","1.55","1.25","005-2",""
"1VMOlJ3knDeODu7af36JxV","3 Vantaux - Fixe","1.80m x 1.25m","4ET","3.69 W/(m²·K)","0.27 (m²·K)/W","1.80","1.25","418","waiting-area"
"2UZ4kFrav4pOzh5A4sQ7Pl","3 Vantaux - Fixe","1.80m x 1.25m","4ET","3.69 W/(m²·K)","0.27 (m²·K)/W","1.80","1.25","waiting-area","414"
"13a0gnNND2NwVk38HdUDVT","Puit de lumière","lanterneau 100cm x 100cm","6ET","3.69 W/(m²·K)","0.27 (m²·K)/W","1.00","0.90","",""
